lower_super_output_area,names,population_density,population_density_log,household_composition_couple_household_without_dependent_children,household_composition_other_multi_person_household,tenure_owned_outright,tenure_owned_with_a_mortgage_or_loan,dwelling_type_whole_house_or_bungalow_detached,dwelling_type_flat_maisonette_or_apartment,economic_activity_employment_rate,qualifications_highest_level_of_qualification_apprenticeship,qualifications_highest_level_of_qualification_other_qualifications,health_fair_health,health_bad_or_very_bad_health,road_casualties_2011_total
E01003201,Lewisham 007B,15.7,2.753661 ,16,16.2,12.1,22.5,2.9,60.8,61.9,1,8,11.7,5.9,0
E01003204,Lewisham 007C,25.7,3.246491 ,25,13.4,14.8,25.7,3.8,84.9,66.5,0.5,6.2,7.7,3.5,10
E01003205,Lewisham 007D,9,2.197225 ,11.2,12.9,5.4,9.6,3.1,73.5,45.1,1.1,9.4,12.1,7.3,0
E01003206,Lewisham 007E,20.6,3.025291 ,28.9,11.2,21.6,28.1,8.8,74.7,70.9,0.9,5.9,8.2,4,0
E01003211,Lewisham 008B,20.1,3.000720 ,20.7,17.1,10.2,26.8,1.9,82.1,72.8,0.9,6.9,8.5,4.1,7
E01003213,Lewisham 008C,21.4,3.063391 ,21.5,19.3,11.3,28.2,4,76.1,67,0.7,7.4,8.5,3,3
E01003214,Lewisham 008D,15.7,2.753661 ,16.4,19.3,8.7,20.4,2.4,71,62.6,0.4,10.9,10.6,5.2,6
E01033324,Lewisham 008E,17.9,2.884801 ,20.4,19.2,12.9,22.9,2.3,34,59.8,0.9,6.2,13.1,6.1,4
E01033325,Lewisham 008F,6.1,1.808289 ,33.4,16,7.8,24.2,0.1,98.1,85.2,0.2,10.3,4,0.7,0
E01003198,Lewisham 009A,16.9,2.827314 ,27.7,9.1,22.1,31.8,1.5,65.8,68.9,1.3,4.4,11.3,6.5,1
E01003200,Lewisham 009B,73.8,4.301359 ,30,12,24.3,23.3,4.5,64.2,74.5,0.7,4,7.7,3.1,26
E01003202,Lewisham 009C,23.1,3.139833 ,30.6,11.9,33.4,27.9,7.8,52.2,75.7,0.8,5,8.8,3,5
E01003203,Lewisham 009D,14.8,2.694627 ,15.8,10.5,8.4,21,1,84.3,69.2,0.6,9,10.6,5.9,6
E01003336,Lewisham 010A,12.6,2.533697 ,8,18.7,5,14.6,3.5,68.2,52.7,1.3,10.9,14.9,7.1,5
E01003337,Lewisham 010B,13.2,2.580217 ,8,11.3,3.2,11.2,2.5,74,60.1,0.9,7.8,9.8,5.2,0
E01003342,Lewisham 010C,16.4,2.797281 ,21.8,21.8,11.8,30.1,1.8,64.9,71.6,0.9,7.7,8,3,2
E01003344,Lewisham 010D,18.8,2.933857 ,21.1,19.9,11,26.4,2.2,60.3,64.5,1.2,6.6,10.4,4.6,2
E01003345,Lewisham 010E,16,2.772589 ,24.5,20.7,10.4,28.4,4,53.3,67.4,1.4,7.8,9.6,4.2,6
E01003273,Lewisham 011A,18.5,2.917771 ,19.1,27.5,20.7,32.7,3,35.7,45,2.4,10.3,8.5,3.6,3
E01003277,Lewisham 011B,14.3,2.660260 ,18.8,18.9,12.5,29.2,3,70.8,68.4,1.6,7,9.5,4.4,8
E01003278,Lewisham 011C,15,2.708050 ,18.9,23.4,15.5,28.3,2.1,59,64.6,1.4,11.5,11.6,4.6,21
E01003279,Lewisham 011D,17.8,2.879198 ,26.3,19,22.8,37.9,2.2,36.6,66.7,1.1,5.7,11.2,5.4,3
E01003288,Lewisham 012A,17.1,2.839078 ,13.6,16,9.9,16,3.7,66.3,55.5,2.2,12.2,13.8,7.8,3
E01003290,Lewisham 012C,14.4,2.667228 ,15.4,18.9,7.2,18.6,2.2,70,61.9,1.9,8.5,13,6.9,2
E01003291,Lewisham 012D,28.3,3.342862 ,11.9,11.6,4.7,13.3,0.9,81.3,53.3,1.2,11.7,15.3,8.5,12
E01003296,Lewisham 012E,36.3,3.591818 ,19.6,13.4,10,18.7,1.1,77.4,68,1.3,9.7,8.8,4.1,43
E01033327,Lewisham 012F,32.6,3.484312 ,21.4,20.2,16.3,20.5,2.7,68.6,66.4,1,12.1,12.6,4.3,31
E01033341,Lewisham 012G,12.8,2.549445 ,17.6,15.1,8.5,18.5,3.1,81,61.3,1,12.8,9.9,4.2,12
E01003282,Lewisham 013A,21.6,3.072693 ,20,19.9,14.2,30.8,2.3,60.3,71,1.5,10.7,10.6,5.1,14
E01003283,Lewisham 013B,23.4,3.152736 ,25.4,7.9,23.8,36.7,1.5,40.7,74.4,0.8,5.9,9.4,3.1,6
E01003284,Lewisham 013C,16,2.772589 ,25.5,14.4,20.1,36.6,2.2,40.6,68.4,1.4,7.3,10.3,4.5,0
E01003286,Lewisham 013D,19,2.944439 ,15.8,9.9,10.8,16.9,5.3,71.1,57.8,1.6,8,15.3,7.8,12
E01003272,Lewisham 014A,14.9,2.701361 ,18.9,24.1,14.9,28.4,2.8,49.6,62.8,1.1,9.1,10,3.7,4
E01003274,Lewisham 014B,14.7,2.687847 ,18.3,16.5,17.8,33.8,1.9,51.7,69.2,1.4,9.3,10.4,4.4,9
E01003275,Lewisham 014C,19.4,2.965273 ,16.6,12.3,14.1,31.1,3.3,35.4,56.9,1.3,9.7,13.6,9,2
E01003276,Lewisham 014D,46.2,3.832980 ,21.6,13.3,20.9,36.6,2.1,36.8,66.6,1.1,6.9,10.2,3.9,5
E01003225,Lewisham 015A,21.3,3.058707 ,28.6,12.7,26.6,50.2,1.7,7.5,70.1,1.2,5.6,10.8,3.4,2
E01003231,Lewisham 015B,17.3,2.850707 ,16.2,16.6,16.6,27.8,1.5,57,65.6,0.6,6.8,11.6,3.3,6
E01003232,Lewisham 015C,20.3,3.010621 ,22,17.6,27.6,37.3,3.3,19.1,66.4,1.8,7.1,8.7,4.2,3
E01003233,Lewisham 015D,13.8,2.624669 ,29.1,18.5,21.5,42,2.8,27.5,67.1,1.5,7.9,10.9,3.6,1
E01003280,Lewisham 016A,19.9,2.990720 ,22,11.8,20.7,28.7,2.1,48.3,61.6,2.3,7.4,12,6.5,5
E01003281,Lewisham 016B,34.7,3.546740 ,25.6,10.1,29.8,39.9,1.5,25.4,66.3,2,5.6,12,3.6,1
E01003285,Lewisham 016C,22,3.091042 ,23.6,12.1,30.2,29.6,9.3,54.3,70.5,1.4,6.6,10.1,3.7,6
E01003287,Lewisham 016D,24.3,3.190476 ,27.2,10.7,26.5,38.9,6.8,37.7,72.5,0.8,4.2,9.2,3.8,0
E01003292,Lewisham 017A,13.3,2.587764 ,23.4,16.7,15.2,39.2,3.4,43.5,69.2,1.2,8.8,10.8,3.1,7
E01003293,Lewisham 017B,11.1,2.406945 ,18.2,15.4,11.5,30,2.9,73.4,62.8,1.1,7.8,10.3,5.1,2
E01003295,Lewisham 017D,18.2,2.901422 ,17.9,18.1,12.4,34.5,2,61.3,56.3,1.6,8.3,12,4.8,2
E01033320,Lewisham 017E,14.7,2.687847 ,21.1,14.4,17.2,32.2,2.1,57.4,61.5,1.2,8.4,11.8,4.9,1
E01033322,Lewisham 017F,7,1.945910 ,23.1,18.9,7.4,28.6,0.7,85.3,77.4,0.6,9.7,9.2,2.8,0
E01003319,Lewisham 018A,13.1,2.572612 ,14.6,13.7,19.8,24.9,3.1,59.4,58.8,2.7,9.5,12.9,7,11
E01003320,Lewisham 018B,18.7,2.928524 ,15.5,8.6,14,24.6,2.4,53.1,58.6,1.5,10.1,12.7,7.6,1
E01003323,Lewisham 018C,17,2.833213 ,15.9,16.5,15.5,33.3,3.6,52,59.9,1.4,9.2,14.5,5.3,1
E01003325,Lewisham 018D,13.4,2.595255 ,14,15.1,11.5,28.1,4.1,64.1,59,2.1,10.5,10.9,4.7,5
E01003226,Lewisham 019A,18.1,2.895912 ,22.7,19,20.3,37.1,2.2,47.4,71.6,1.5,7.9,10,3.1,2
E01003227,Lewisham 019B,24.7,3.206803 ,23.9,14.2,21.8,40.9,8,39.9,71.3,1.2,6.3,10.7,5.1,1
E01003228,Lewisham 019C,14.2,2.653242 ,27.8,11.4,17.1,41.3,1.7,41.8,74.7,1.8,4.3,9.5,5.2,0
E01003229,Lewisham 019D,21.4,3.063391 ,15.6,13.3,10.2,22.9,3.6,69.4,58.5,1,8.1,14.1,8,3
E01003230,Lewisham 019E,21.1,3.049273 ,18.4,14,13,29.8,3.5,62.9,65.6,1.1,7.4,10.6,5.5,0
E01003317,Lewisham 020A,39.8,3.683867 ,23.5,11.6,21.9,33.4,4.6,48.9,58.8,4,9.5,11.4,4.5,11
E01003318,Lewisham 020B,35.3,3.563883 ,13.3,13.6,8.7,20.7,2.9,81.7,56.8,1.5,11.8,15.1,5.2,40
E01003321,Lewisham 020C,16.7,2.815409 ,16.3,13.8,11.7,28.3,2.3,55.8,63.4,1.7,9.8,12.5,6.8,9
E01003322,Lewisham 020D,14.8,2.694627 ,15.5,17.4,20.4,31.7,4,37.3,60.6,1,10.3,12.6,5.8,16
E01003324,Lewisham 020E,9.3,2.230014 ,12.8,10,10.4,17.1,2.9,62.8,57.5,1.3,10.3,13.5,6.7,10
E01003254,Lewisham 021A,32.3,3.475067 ,30.7,11.1,31.9,37.5,17.7,40.8,71.7,1.7,6.7,10.4,3.4,6
E01003255,Lewisham 021B,18.1,2.895912 ,23.3,13.3,13.1,29,2.4,82.8,75.5,0.9,7.2,8.2,3.3,7
E01003260,Lewisham 021C,21.5,3.068053 ,26,10,22.6,31.1,12.3,52.7,69.9,1.3,7.1,10.3,3.5,3
E01003261,Lewisham 021D,18.1,2.895912 ,24.6,11.1,21,36.8,6.1,52.5,69.4,1.6,6.1,9.3,3.3,2
E01003262,Lewisham 021E,16.1,2.778819 ,23.7,9.3,16.3,31.9,6.4,70.9,71.1,1.4,9.7,10,5.2,1
E01003217,Lewisham 022A,16.1,2.778819 ,23.2,14.1,25.4,51.3,3,6.8,64.7,1.8,8.2,12.4,4.6,0
E01003218,Lewisham 022B,14.2,2.653242 ,23.9,13.4,26.3,46.8,1.8,14.6,66,2.6,7.2,12.6,3.9,2
E01003220,Lewisham 022C,18,2.890372 ,21.2,14.7,18,37.6,2.1,45.2,63.3,0.9,8.4,12.4,4.8,19
E01003222,Lewisham 022D,18.3,2.906901 ,19.7,13.8,22.9,42,2.4,31.3,60.9,1.7,6.8,13.4,5.3,8
E01003224,Lewisham 022E,15.2,2.721295 ,20.9,16.5,19.8,46.6,3.8,23.2,62.7,1.8,8.1,10.6,5.4,9
E01003263,Lewisham 023A,35.3,3.563883 ,19.5,8.3,16.1,28.3,4.1,53.9,61.2,2,8.5,12.2,6.7,7
E01003268,Lewisham 023B,29.3,3.377588 ,23,14.2,18.7,36.1,1.7,44.4,67.5,2.4,9.3,12.9,3.9,6
E01003269,Lewisham 023C,21.1,3.049273 ,22.9,12.8,21,32.3,4.4,41.1,62.4,1.8,6.3,10.7,5.5,1
E01003270,Lewisham 023D,28.2,3.339322 ,26.1,10.3,27.4,47.6,2,33.6,70.4,2.4,8.5,11.1,3.7,2
E01003271,Lewisham 023E,29.4,3.380995 ,39.4,10.4,40.8,44.9,13.1,7.7,70,2.6,5.2,13.3,3.3,0
E01003307,Lewisham 024A,14.5,2.674149 ,24.9,12.3,19.8,36.7,2.9,39.6,67.5,1.5,7.1,11.8,4.2,0
E01003308,Lewisham 024B,15.8,2.760010 ,18.4,14.4,14.2,35,3.1,60.1,66,1.3,7.4,10.6,3.8,4
E01003314,Lewisham 024C,15.5,2.740840 ,21.8,17.1,15.7,41.1,3.1,54.5,74.7,1.6,5.4,9.6,2.9,3
E01003315,Lewisham 024D,14.4,2.667228 ,20.4,16.4,9.5,28.4,3.4,68.8,69.5,1,6.7,10.4,4.7,6
E01003316,Lewisham 024E,14.5,2.674149 ,24.6,15.4,22.5,39.7,3.1,39.6,70.5,1.8,6.5,10.9,4.8,10
E01003216,Lewisham 025A,21.2,3.054001 ,18.4,17.6,14.9,41.9,1.7,53.7,60.4,1.7,7.8,10.2,4.4,6
E01003219,Lewisham 025B,21,3.044522 ,21.6,12.7,28.1,45.2,2.8,17.3,64.1,1.7,6.7,11.7,2.9,1
E01003221,Lewisham 025C,33.4,3.508556 ,19.9,16.5,18.6,34.3,4.6,51.9,58.7,1.2,8.9,12.2,6.1,11
E01003223,Lewisham 025D,29.5,3.384390 ,29.4,15.4,33.3,43.8,2.6,20.1,62.8,1.9,9,13.1,4.1,6
E01003346,Lewisham 026A,34.6,3.543854 ,17.1,10.7,18.4,34.1,2.8,17.6,57.6,1.6,6.4,13.4,6.7,1
E01003349,Lewisham 026B,13.7,2.617396 ,12.9,9.4,12,23.5,3.8,14.2,56.2,1.3,7,16.3,5.9,1
E01003351,Lewisham 026C,18.4,2.912351 ,15.4,10.1,12.3,30.6,2.8,18,59.3,2.1,6.6,14.7,7.6,4
E01003354,Lewisham 026D,36.6,3.600048 ,19,10.3,19.1,48.1,1.8,44.2,65.7,1.9,7.1,9.4,4.1,4
E01003309,Lewisham 027A,15.9,2.766319 ,13.3,12.1,13.2,21.6,4,60.6,56,1.9,8.8,14.8,7.9,3
E01003310,Lewisham 027B,16,2.772589 ,18.5,13.5,7.4,19.2,4,83.4,64.5,1.2,9,11.9,5.7,11
E01003311,Lewisham 027C,18.7,2.928524 ,29.9,12.9,34.4,38.3,10.4,24.9,67.6,2.2,8,10.8,5,2
E01003312,Lewisham 027D,19.8,2.985682 ,19.6,13,19.4,36.3,2.4,51.6,69.9,1.2,5.4,10.6,3.2,3
E01003313,Lewisham 027E,23.5,3.157000 ,14.9,10.9,8.7,23.7,1.3,72.9,64,1.5,7.9,13.3,4.4,0
E01003256,Lewisham 028A,22.3,3.104587 ,19.7,14.5,16.6,20.7,2.8,72.5,60.7,1,8.4,11.4,5,2
E01003257,Lewisham 028B,21.8,3.081910 ,20.3,10.7,18.5,29.8,4.6,69,65.1,1.1,6.4,14.2,7.6,4
E01003258,Lewisham 028C,12,2.484907 ,12.8,9.1,8.4,19.5,0.8,81.9,54.6,0.8,9.1,12,4.7,0
E01003259,Lewisham 028D,20.7,3.030134 ,26.5,10.1,16.3,32.1,4.1,53.2,68.4,1.4,7,10.1,4.3,2
E01003193,Lewisham 029A,34.8,3.549617 ,18.3,11.4,22.1,33.2,1.8,31,59.4,2.4,7.1,12.6,7.5,12
E01003194,Lewisham 029B,33,3.496508 ,17.2,12.2,14.2,24.2,4.3,43.2,61.9,2.1,10.5,15,6.5,3
E01003195,Lewisham 029C,19.6,2.975530 ,21.8,12.1,21.7,44.6,3.3,26.9,65.5,1.9,7.9,11.1,4.8,0
E01003196,Lewisham 029D,26.7,3.284664 ,16,10.3,11.7,27.7,4,19.6,58.7,2.2,6.5,14.2,8,3
E01003197,Lewisham 029E,21.2,3.054001 ,15.8,12.6,8.8,28,3.7,26,53.9,1.5,6.7,13.8,7.6,3
E01003347,Lewisham 030A,14.3,2.660260 ,10,12.5,5.2,13.8,6.7,65.1,51.1,1.1,9.5,12.6,7.1,1
E01003348,Lewisham 030B,32.3,3.475067 ,22.8,10.3,29.6,32.9,1.4,26.3,58.1,2.7,6.6,14.7,6.2,4
E01003350,Lewisham 030C,24.2,3.186353 ,20.4,9.8,15,29.9,26.4,13.9,53.7,2.5,8.5,14.2,7.4,1
E01003352,Lewisham 030D,22.3,3.104587 ,19.2,10.9,24.2,21,2.3,55.6,56.4,3,8.9,15.1,5.9,27
E01003353,Lewisham 030E,25.9,3.254243 ,27.1,14.4,29.3,41.8,4.7,11.7,63.7,2.1,9.5,11.8,5,3
E01003264,Lewisham 031A,22.7,3.122365 ,21.7,8.7,24.5,26.9,5.4,42.2,63.4,2.2,8.1,14.2,6.2,8
E01003265,Lewisham 031B,23.1,3.139833 ,16.5,13.2,7.4,26.8,1.9,56.5,57.7,1,9.5,12.9,5.3,7
E01003266,Lewisham 031C,17.1,2.839078 ,18.6,7.8,15.3,21.3,2.3,34.9,52.5,1.8,6.2,16.2,8.1,5
E01003267,Lewisham 031D,33,3.496508 ,22.1,9.7,18.1,32.6,3.1,14.5,55.4,2.3,6.7,14.8,7.5,2
E01003329,Lewisham 033A,17.6,2.867899 ,22.7,9.5,15.6,36.9,2.8,54.5,67.7,1.5,7.6,9.6,4.8,1
E01003330,Lewisham 033B,25.9,3.254243 ,16.3,7.9,12.8,12.7,3.5,71.3,57,2.2,6.8,12.8,4.5,3
E01003331,Lewisham 033C,15.8,2.760010 ,19.2,12.8,25.3,26.4,2.9,54.4,59.8,1.6,9.1,15.6,7.9,6
E01003332,Lewisham 033D,20.4,3.015535 ,22.4,9.4,11.2,32.8,2.6,76.3,64.4,1.2,7.4,11.7,6.2,1
E01003334,Lewisham 033E,17,2.833213 ,18.5,11.3,9.5,23.9,1,74.4,65.2,1.5,7.9,14.9,5.6,12
E01003189,Lewisham 034A,19.1,2.949688 ,14.7,10.1,8.8,25.2,3.3,30.4,53,1.3,7.8,15.7,6.8,3
E01003190,Lewisham 034B,32.6,3.484312 ,9.8,11.1,9.8,19,1.1,75.8,58.5,1.2,12.9,12.2,6.7,16
E01003191,Lewisham 034C,19.8,2.985682 ,15.5,10.2,14.7,25.6,2.8,62.4,60.3,2,8.2,11.8,5.3,15
E01003192,Lewisham 034D,101.6,4.621044 ,11.6,12.8,7.8,18.6,2.1,66.2,53.9,2.1,9.5,15.2,8.2,1
E01003326,Lewisham 035A,13.7,2.617396 ,19.4,11.6,19.4,29.5,3.2,51.6,62.8,1.1,8.4,16,5.2,3
E01003327,Lewisham 035B,20.6,3.025291 ,24.5,15.4,19.9,31.9,2.3,52.8,58.4,1.1,11.5,8.1,4.1,9
E01003328,Lewisham 035C,19.1,2.949688 ,22.4,9.5,14.3,29.4,5.7,70.6,65.1,1,8,12.8,6.8,2
E01003333,Lewisham 035D,12.6,2.533697 ,17.5,12.2,14.2,32.4,2.7,48.4,60.2,2.9,8,11,4.5,1
E01003335,Lewisham 035E,11.7,2.459589 ,17,10.8,12.8,19,1.5,65.9,59.2,1.6,6.8,13.5,5.5,1
E01003236,Lewisham 037A,17.7,2.873565 ,19.4,8.2,12.8,27.3,3.3,11.6,54,1.9,8.1,12.3,7.2,14
E01003237,Lewisham 037B,25.9,3.254243 ,17.6,10.9,13.2,28.3,3.9,14.1,55.6,1.6,7.7,15.4,6.7,5
E01003238,Lewisham 037C,13,2.564949 ,16.8,8.5,14.2,30.6,4.7,13.8,59.1,2.1,9.5,14.8,5.8,9
E01003239,Lewisham 037D,22,3.091042 ,16.3,10.5,12.2,31.2,5.8,10.2,58.7,1.8,8,14.6,6,4
E01032564,Lewisham 037E,15.3,2.727853 ,15,10,13.8,31.5,4.5,14.7,56.4,2.1,7.5,14.5,6,1
E01003235,Lewisham 038A,48.9,3.889777 ,22.2,7.6,23.7,36.7,5.3,27.7,58,2.9,5.7,14.2,6,5
E01003240,Lewisham 038B,20.9,3.039749 ,17.5,11.7,13.7,31.7,3.5,17.3,58.9,1.3,7.3,15.2,6.6,3
E01003241,Lewisham 038C,28.5,3.349904 ,20.3,9.2,19.4,26.5,3.1,44.8,53.2,2.6,8,18,7.9,13
E01003243,Lewisham 038D,24.4,3.194583 ,17.7,8.8,14.5,25.3,1.7,44.8,55.7,3,8.3,17,6.7,9
E01032565,Lewisham 038E,21.6,3.072693 ,12.9,6.2,11,26.9,1.5,28.1,55.2,2.1,5.6,13.3,9.1,2
E01003298,Lewisham 039A,13.7,2.617396 ,10.3,18.9,5.1,16.2,2.5,76.8,54.3,1.4,10.3,10.8,5.3,5
E01003300,Lewisham 039B,11.8,2.468100 ,13.4,16.2,6.4,13.7,2.1,61,53.2,1.3,11,13.6,6.3,2
E01003303,Lewisham 039C,22.1,3.095578 ,14.3,21.3,9.5,17.7,2.3,71,48.6,1.3,13,10.9,4.5,17
E01003304,Lewisham 039D,17,2.833213 ,15.3,18.3,4.5,16.6,1.6,83.6,59.5,1.2,11.1,11.2,5.1,4
E01032579,Lewisham 039E,17.5,2.862201 ,12.4,16.6,6.6,11.4,0.3,94.2,57.4,1.5,9.5,11.7,6.2,11
E01003543,Newham 001A,16.6,2.809403 ,14.6,23.1,15.9,21.1,5,47.1,61,0.8,17.3,11.2,4.5,2
E01003544,Newham 001B,15.2,2.721295 ,14.3,25.9,15.7,21.1,8.4,30,58.6,1.1,14.9,9.8,5.2,4
E01003546,Newham 001C,11.6,2.451005 ,10.9,25.3,11.1,22.1,6.1,48.5,51.9,1.6,14.4,11.4,5.1,1
E01003550,Newham 001D,11.6,2.451005 ,15.2,23.5,15.1,23.9,4.2,47.1,53.5,0.3,13.3,10.2,7.5,3
E01003576,Newham 002A,14.2,2.653242 ,7.6,16.8,6.3,12.5,3.1,79.4,44.5,0.9,17.3,11.8,6.6,21
E01003581,Newham 002B,10.2,2.322388 ,14.4,29.4,19.1,25.7,7.7,27,44.2,0.6,16.2,12.7,6,0
E01003582,Newham 002C,8.6,2.151762 ,16.2,22.2,13.4,22,7.8,39.6,42.4,0.4,15.8,12,6.8,2
E01003583,Newham 002D,9.8,2.282382 ,13.7,28,18.6,24.5,14,28.7,46.7,1.2,17.6,14.8,4.8,7
E01003578,Newham 003A,82.8,4.416428 ,8.8,28.1,9.8,15.3,9.7,45.3,46.7,0.8,19.4,10.8,4.4,11
E01003584,Newham 003B,33,3.496508 ,15.4,25.1,20.1,31,7.6,27,49.7,1.3,14.9,10.9,5.5,0
E01003586,Newham 003C,14.9,2.701361 ,14.7,34,17.9,26.5,8.8,36.9,45.9,0.5,15,11.8,5.9,12
E01003590,Newham 003D,25.8,3.250374 ,10.5,15.4,9.3,14.3,4,64.3,52,0.8,10.9,15.1,8.5,4
E01003579,Newham 004A,9.8,2.282382 ,11.6,29.3,17.8,23,7.1,32.3,44.2,0.5,15.3,12,5.7,1
E01003585,Newham 004B,7.3,1.987874 ,17,38.6,25.6,28.5,9.5,23.7,42.3,0.6,15.2,11.2,6.8,0
E01003587,Newham 004C,16.3,2.791165 ,14.3,24.9,8.7,20,4,60.4,51,0.7,16.9,11.5,6,6
E01003591,Newham 004D,16.5,2.803360 ,13.6,27.1,10.3,16.7,3.4,68.1,42.5,0.5,18.5,11.3,6.6,22
E01003528,Newham 005A,8,2.079442 ,10.9,19.7,11.1,16,3,71.6,43.2,0.7,14.4,13.3,6.3,4
E01003575,Newham 005B,14.7,2.687847 ,15.1,25.7,18.5,29.7,9.3,29.6,46.1,1.4,16,12.5,6.2,0
E01003577,Newham 005C,17.5,2.862201 ,9.5,13.8,3.7,11.7,2.4,77,42.5,0.8,12.9,12.2,7.7,8
E01003580,Newham 005D,22.3,3.104587 ,12,17.2,12.4,24.2,7.5,42.7,45.6,0.9,14.6,13.3,5.4,2
E01003545,Newham 006A,17,2.833213 ,14.3,19.1,11.2,14.4,7.2,42,54.2,1.1,14,10.8,6.1,7
E01003548,Newham 006B,23,3.135494 ,15.6,29.3,10.9,20.7,6.9,42,53.4,0.9,20.4,10,5.2,0
E01003549,Newham 006C,11.8,2.468100 ,12.9,29.1,12.2,14.6,2.5,70.7,56.2,1,16.7,10,6.8,5
E01003557,Newham 006D,17.6,2.867899 ,12.6,26.6,11.1,14.9,6,68.6,53.8,1.1,16.9,11.8,4.4,2
E01003547,Newham 007A,17.8,2.879198 ,20.7,17.7,21.2,34.6,4.2,30.5,57.5,1,9.8,12.5,5.5,0
E01003555,Newham 007B,16.9,2.827314 ,17.2,35.8,23.4,26,13.4,34.9,51.9,0.7,14.7,11.6,5.5,1
E01003561,Newham 007C,8,2.079442 ,17,31.6,22.7,26.6,9.1,24.4,45.7,0.8,17.8,10.3,4.3,0
E01003567,Newham 007D,9.8,2.282382 ,14.6,30.6,18,15.9,8,45.7,44.8,0.8,18.3,12.5,4.9,7
E01003556,Newham 008A,13.8,2.624669 ,9.7,27.2,7.5,13.8,2.8,79.8,41.9,1,13,9.8,6.1,13
E01003558,Newham 008B,15,2.708050 ,11.6,29.1,16.3,16.5,6.2,57.5,44.3,0.6,19.1,10.5,8.7,11
E01003570,Newham 008C,10.3,2.332144 ,13.7,34.9,17.3,23.4,8,40.9,46,0.9,17.3,11.8,6.2,4
E01003571,Newham 008D,10.5,2.351375 ,14.3,39.4,23,21,12.2,29.1,41.3,1.1,15.7,9.8,6.1,2
E01003572,Newham 008E,9.4,2.240710 ,12.3,37.9,26.5,20.4,9.5,36,44.3,0.8,16.4,11,5.2,4
E01003551,Newham 009A,9.5,2.251292 ,16,28.5,12.3,18.1,6.1,59,52.2,0.8,13.1,10.8,5,12
E01003553,Newham 009B,10.4,2.341806 ,10.9,25.6,6.7,12.6,4.1,79.7,50.9,1.7,18.7,10.5,6.3,6
E01003554,Newham 009C,9.8,2.282382 ,15.9,34.5,18.5,18.9,7,27.5,59.2,1.2,17.7,9.2,6.3,1
E01003559,Newham 009D,15.5,2.740840 ,17.2,28.8,9.5,15.2,4.3,55.4,66.9,0.9,17,9.1,3.8,5
E01003529,Newham 010A,11.8,2.468100 ,18.9,40,26.8,23.3,9.3,28.4,48.3,0.5,16,11.3,6.1,5
E01003530,Newham 010B,12.1,2.493205 ,17.3,36.3,28.8,27.4,13.6,13,44.8,0.9,16.7,12.3,5.9,0
E01003531,Newham 010C,22.2,3.100092 ,15.1,40.3,21.5,17.2,7,37.8,46.1,0.9,16,11.7,6.7,15
E01003532,Newham 010D,11.2,2.415914 ,18.1,36.8,33.3,21.1,8.8,23.1,46.6,0.7,17.7,14,5.6,7
E01003534,Newham 010E,13.7,2.617396 ,15.2,27.7,19.8,27.1,10.4,26.9,45.6,0.6,17.6,12,5.9,0
E01003533,Newham 011A,11.4,2.433613 ,15.8,31.3,22.6,25.7,7.8,31.8,49,1.2,16.4,11.4,7.2,0
E01003560,Newham 011B,8,2.079442 ,19.2,33.3,27.5,28.8,11.5,10.4,44.1,1.2,18.7,12.5,4.9,4
E01003563,Newham 011C,9.1,2.208274 ,12.8,34.9,17.8,27.9,12.3,25.3,43.1,0.5,17.4,11.7,4.2,0
E01003588,Newham 011D,7.5,2.014903 ,15.9,34.4,22,25.3,12.5,24.5,42,0.8,17.2,11.9,6.3,2
E01003589,Newham 011E,13.8,2.624669 ,15.4,33,20.1,25.6,13.5,21.9,46.8,1.3,16.9,9.7,4.5,6
E01003616,Newham 012A,14.6,2.681022 ,17.6,24.8,7.1,16.1,4,57,57.9,1,18.2,12.3,6.3,3
E01003617,Newham 012B,23.3,3.148453 ,15.1,30.7,4.5,12.4,1.2,87.2,64,0.6,12.7,9.2,5.3,13
E01003618,Newham 012C,16,2.772589 ,18.6,32.6,13.7,17.3,7.4,25.9,63.1,1,17.4,9.5,4.4,18
E01003619,Newham 012D,25.5,3.238678 ,14.4,20.2,4.3,8.1,2.4,80.7,56.8,0.9,11.9,10.2,4.5,17
E01003615,Newham 013C,10.8,2.379546 ,16.2,28.5,12.1,16,6.1,45,57.1,1.2,21.2,12,5,6
E01033578,Newham 013E,56.9,4.041295 ,16.7,29,2.2,8.1,0.6,97.9,61.5,0.9,13.6,6.4,3.3,14
E01033579,Newham 013F,43.9,3.781914 ,18.1,33.5,3.4,10.2,1.4,91.7,68.1,0.4,14,5.7,2.2,4
E01033583,Newham 013G,157.7,5.060694 ,17.3,29.5,7.6,13.8,3.8,69.7,61.6,0.9,16.3,9.7,5,17
E01033586,Newham 013H,70.6,4.257030 ,16.9,19.4,6.5,16.2,4.5,63,60.9,0.5,13,10.5,5.2,7
E01003562,Newham 014A,9.8,2.282382 ,18.8,38.9,26,22.4,10.3,31.2,46.7,0.4,16.3,11.4,5.6,2
E01003564,Newham 014B,10.9,2.388763 ,14.3,35.4,19,23.8,13.1,32.5,47.6,0.4,19.7,10.1,5.4,0
E01003565,Newham 014C,9,2.197225 ,11.7,34.7,19,19.2,10.3,33.5,42.5,0.5,19.4,9.6,5,1
E01003566,Newham 014D,9.7,2.272126 ,10.1,32.7,16.4,13.6,5.9,61.6,44.3,0.5,19.7,10.7,6,3
