lsoa,names,unemployment_rate,couple_household_without_dependent_children,lone_parent_household,ethnic_white,ethnic_black,tenurec_owned_outright,tenurtc_social_rented,good_health,bad_health
E01003198,Lewisham 009A,5.8,27.7,11.9,76.5,13.6,22.1,28.2,82.2,6.5
E01003200,Lewisham 009B,3.3,30,3.8,84.9,2.2,24.3,12.6,89.2,3.1
E01003202,Lewisham 009C,2.7,30.6,4.3,84.7,3.1,33.4,5.2,88.2,3
E01003203,Lewisham 009D,7.7,15.8,8.9,63.3,20,8.4,34.8,83.6,5.9
E01003336,Lewisham 010A,11.6,8,26.2,31.6,50.1,5,62.2,78,7.1
E01003337,Lewisham 010B,11.2,8,27.7,29.2,51.7,3.2,70.7,85,5.2
E01003342,Lewisham 010C,6.3,21.8,13.1,54,26.1,11.8,16.2,88.9,3
E01003344,Lewisham 010D,7.5,21.1,13.8,53.5,25.6,11,32.1,85,4.6
E01003345,Lewisham 010E,5.8,24.5,11.3,53.1,26.3,10.4,22.9,86.2,4.2
E01003273,Lewisham 011A,7.4,19.1,13.2,44.8,21.4,20.7,30.5,88,3.6
E01003277,Lewisham 011B,9,18.8,14.1,61,25.3,12.5,27.6,86.2,4.4
E01003278,Lewisham 011C,6.8,18.9,11.4,48.8,29.6,15.5,22.5,83.8,4.6
E01003279,Lewisham 011D,5.3,26.3,11.6,64.5,19.3,22.8,17.1,83.4,5.4
E01003288,Lewisham 012A,10.1,13.6,17,47.5,28.3,9.9,47.1,78.4,7.8
E01003290,Lewisham 012C,11.4,15.4,15.2,47.5,33.2,7.2,33.2,80.1,6.9
E01003291,Lewisham 012D,13.4,11.9,25.4,41.1,37.8,4.7,63.9,76.3,8.5
E01003296,Lewisham 012E,6.4,19.6,11.1,48.7,22.8,10,21.4,87.1,4.1
E01033327,Lewisham 012F,8.5,21.4,8.4,53,22.2,16.3,12.2,83.1,4.3
E01033341,Lewisham 012G,8.8,17.6,21.1,41.1,28.7,8.5,35.2,85.9,4.2
E01003282,Lewisham 013A,5.5,20,11.2,58.2,18.1,14.2,20.2,84.3,5.1
E01003283,Lewisham 013B,5.8,25.4,6.7,81.9,8.2,23.8,10.3,87.4,3.1
E01003284,Lewisham 013C,7.5,25.5,11.5,64.5,20,20.1,19.1,85.2,4.5
E01003286,Lewisham 013D,10.3,15.8,17.2,60.4,23.4,10.8,53.6,76.9,7.8
E01003272,Lewisham 014A,6.7,18.9,10.7,63.5,17.8,14.9,19.7,86.3,3.7
E01003274,Lewisham 014B,6.1,18.3,14.6,56.1,23.1,17.8,15,85.3,4.4
E01003275,Lewisham 014C,9.3,16.6,20.2,46,31.9,14.1,35.8,77.4,9
E01003276,Lewisham 014D,6.6,21.6,16.6,54.1,23.4,20.9,22.4,85.9,3.9
E01003225,Lewisham 015A,6,28.6,14.6,64.2,19.6,26.6,5.9,85.8,3.4
E01003231,Lewisham 015B,6.7,16.2,14,52.7,27.6,16.6,18.9,85.1,3.3
E01003232,Lewisham 015C,7.5,22,12.2,58.2,19.7,27.6,12.9,87.1,4.2
E01003233,Lewisham 015D,6.4,29.1,9.7,57.7,22.7,21.5,11.7,85.5,3.6
E01003280,Lewisham 016A,7.3,22,21.4,51.3,26.1,20.7,31.8,81.4,6.5
E01003281,Lewisham 016B,5.8,25.6,9.8,67.3,15.4,29.8,16.3,84.4,3.6
E01003285,Lewisham 016C,4.8,23.6,9.1,68,12.4,30.2,7.4,86.3,3.7
E01003287,Lewisham 016D,4.6,27.2,8.9,76.5,10,26.5,13.8,87,3.8
E01003292,Lewisham 017A,6.9,23.4,12.5,53.7,26.1,15.2,9.3,86.1,3.1
E01003293,Lewisham 017B,7.1,18.2,16.7,46.7,33.3,11.5,21.3,84.6,5.1
E01003295,Lewisham 017D,11.6,17.9,13.9,50.1,32.1,12.4,19.8,83.1,4.8
E01033320,Lewisham 017E,7.7,21.1,11.2,48.9,30.5,17.2,20.3,83.3,4.9
E01033322,Lewisham 017F,6,23.1,11.1,54.3,23.5,7.4,16.8,88,2.8
E01003319,Lewisham 018A,8.4,14.6,16.8,36.6,36.8,19.8,24.7,80,7
E01003320,Lewisham 018B,11.1,15.5,22.8,38.3,42.8,14,36,79.8,7.6
E01003323,Lewisham 018C,9.7,15.9,16.2,41.7,38.7,15.5,23.1,80.2,5.3
E01003325,Lewisham 018D,11.2,14,20.5,37.2,40.5,11.5,28.7,84.3,4.7
E01003226,Lewisham 019A,5.3,22.7,9.9,66.2,16.3,20.3,6.8,86.9,3.1
E01003227,Lewisham 019B,7.2,23.9,9,68.5,16.3,21.8,12.4,84.3,5.1
E01003228,Lewisham 019C,4.8,27.8,10.3,71.9,15.3,17.1,10.7,85.3,5.2
E01003229,Lewisham 019D,11.7,15.6,16.7,54.6,28.8,10.2,34.5,77.9,8
E01003230,Lewisham 019E,8,18.4,17.9,51.9,31.6,13,30.9,84,5.5
E01003317,Lewisham 020A,8.4,23.5,13.5,46.8,30.5,21.9,12.8,84.1,4.5
E01003318,Lewisham 020B,11.7,13.3,17.6,40.5,37.4,8.7,20.7,79.7,5.2
E01003321,Lewisham 020C,8.4,16.3,13.7,45,36.5,11.7,27.2,80.7,6.8
E01003322,Lewisham 020D,8.5,15.5,15.3,44.7,34.1,20.4,18.2,81.6,5.8
E01003324,Lewisham 020E,13.5,12.8,15.1,36.2,45,10.4,49.1,79.8,6.7
E01003254,Lewisham 021A,3.4,30.7,7.1,75.3,11.6,31.9,13.3,86.2,3.4
E01003255,Lewisham 021B,6.5,23.3,8.1,66.1,16.3,13.1,14,88.5,3.3
E01003260,Lewisham 021C,6.9,26,21,59.8,19.6,22.6,18.6,86.2,3.5
E01003261,Lewisham 021D,6.6,24.6,15,66.2,19.9,21,26,87.4,3.3
E01003262,Lewisham 021E,5.4,23.7,14.1,63.2,20,16.3,24.4,84.8,5.2
E01003217,Lewisham 022A,6.5,23.2,15.8,40.2,37.1,25.4,6.8,83,4.6
E01003218,Lewisham 022B,6.3,23.9,16.5,46.9,35.2,26.3,12.1,83.4,3.9
E01003220,Lewisham 022C,8.6,21.2,13.9,47.3,32.6,18,18,82.8,4.8
E01003222,Lewisham 022D,9.7,19.7,18.3,43.3,39.5,22.9,14.6,81.3,5.3
E01003224,Lewisham 022E,8.8,20.9,18.8,44,36.2,19.8,11.2,84,5.4
E01003263,Lewisham 023A,10.4,19.5,17.9,61.6,20.1,16.1,32.6,81.1,6.7
E01003268,Lewisham 023B,7,23,12.4,61.7,19.4,18.7,21,83.2,3.9
E01003269,Lewisham 023C,8.2,22.9,17.9,63.3,17,21,29.8,83.8,5.5
E01003270,Lewisham 023D,5.4,26.1,11.7,62.9,17.6,27.4,4.3,85.3,3.7
E01003271,Lewisham 023E,3.7,39.4,11,70.1,11.3,40.8,3.9,83.4,3.3
E01003307,Lewisham 024A,6.7,24.9,13.7,57.4,26.6,19.8,20.7,84,4.2
E01003308,Lewisham 024B,5.7,18.4,14.9,55.5,24.4,14.2,26,85.6,3.8
E01003314,Lewisham 024C,6.4,21.8,15.2,59.8,24.2,15.7,17.4,87.5,2.9
E01003315,Lewisham 024D,8.1,20.4,10.7,58.5,23.2,9.5,24.9,84.8,4.7
E01003316,Lewisham 024E,6,24.6,11.8,63.6,19.3,22.5,15.1,84.3,4.8
E01003216,Lewisham 025A,8.6,18.4,12,44.3,33.7,14.9,15.1,85.4,4.4
E01003219,Lewisham 025B,6.9,21.6,13.5,41.2,37.6,28.1,9,85.4,2.9
E01003221,Lewisham 025C,9.6,19.9,17.4,42.6,33.9,18.6,19.8,81.7,6.1
E01003223,Lewisham 025D,6.2,29.4,10.9,45.4,32.5,33.3,4.5,82.7,4.1
E01003346,Lewisham 026A,9.6,17.1,24.7,52,31.2,18.4,33.9,79.9,6.7
E01003349,Lewisham 026B,10.4,12.9,26.4,59,24.4,12,50.5,77.8,5.9
E01003351,Lewisham 026C,9.8,15.4,25.7,57.1,29,12.3,40.7,77.7,7.6
E01003354,Lewisham 026D,7.5,19,14.6,41.6,39.6,19.1,6.3,86.5,4.1
E01003309,Lewisham 027A,10.2,13.3,22,52.3,31.2,13.2,48.7,77.2,7.9
E01003310,Lewisham 027B,9.1,18.5,15.6,55.8,26.9,7.4,37.3,82.4,5.7
E01003311,Lewisham 027C,5,29.9,11.2,61.6,21.2,34.4,10.9,84.2,5
E01003312,Lewisham 027D,7.2,19.6,13.9,62,20.1,19.4,15.4,86.3,3.2
E01003313,Lewisham 027E,10.1,14.9,26.1,48.6,32.9,8.7,47.3,82.4,4.4
E01003256,Lewisham 028A,9.1,19.7,17.1,57.7,23.2,16.6,37.6,83.6,5
E01003257,Lewisham 028B,6.4,20.3,15,62.8,23.1,18.5,34.8,78.2,7.6
E01003258,Lewisham 028C,13.3,12.8,26.4,39.6,41.2,8.4,55.9,83.3,4.7
E01003259,Lewisham 028D,6.8,26.5,12.2,66.4,19.1,16.3,16.1,85.6,4.3
E01003193,Lewisham 029A,9.4,18.3,17.6,56.8,31.5,22.1,30.5,79.9,7.5
E01003194,Lewisham 029B,8.8,17.2,20.3,47.5,35,14.2,40.8,78.5,6.5
E01003195,Lewisham 029C,5.5,21.8,16.6,45.1,38.7,21.7,11.9,84.2,4.8
E01003196,Lewisham 029D,9.9,16,24.5,51.2,30.7,11.7,47,77.8,8
E01003197,Lewisham 029E,12.6,15.8,23.8,49.4,32.4,8.8,49.9,78.6,7.6
E01003347,Lewisham 030A,14.5,10,35.4,37.8,39.7,5.2,65.5,80.3,7.1
E01003348,Lewisham 030B,9.8,22.8,17.5,52.5,25.3,29.6,24.2,79,6.2
E01003350,Lewisham 030C,8.9,20.4,25.6,47.4,31.4,15,43.9,78.4,7.4
E01003352,Lewisham 030D,11.1,19.2,18.4,48.8,31.6,24.2,41.9,78.9,5.9
E01003353,Lewisham 030E,7.5,27.1,10.8,52.5,25.2,29.3,8.4,83.2,5
E01003264,Lewisham 031A,5,21.7,15,63.6,20.1,24.5,27.6,79.6,6.2
E01003265,Lewisham 031B,13.2,16.5,24.1,55.1,30.2,7.4,26.3,81.8,5.3
E01003266,Lewisham 031C,11.5,18.6,19.4,59.2,28.4,15.3,53.1,75.7,8.1
E01003267,Lewisham 031D,10,22.1,20.1,65,20.2,18.1,38.3,77.7,7.5
E01003329,Lewisham 033A,6.4,22.7,18.2,62.2,21.1,15.6,26.3,85.5,4.8
E01003330,Lewisham 033B,13,16.3,29.8,53.7,30.4,12.8,60.7,82.8,4.5
E01003331,Lewisham 033C,10.1,19.2,17.1,55.6,28,25.3,33.9,76.6,7.9
E01003332,Lewisham 033D,8.4,22.4,14.9,56.8,26.6,11.2,35.3,82.1,6.2
E01003334,Lewisham 033E,8.9,18.5,15.7,56.8,25.1,9.5,34.3,79.5,5.6
E01003189,Lewisham 034A,11.8,14.7,24.7,52.5,31,8.8,55,77.4,6.8
E01003190,Lewisham 034B,11.2,9.8,27.1,37.9,39.5,9.8,54.9,81.2,6.7
E01003191,Lewisham 034C,11,15.5,25.7,49.7,34.7,14.7,41.7,82.9,5.3
E01003192,Lewisham 034D,14,11.6,20.1,49.8,35.3,7.8,60.6,76.6,8.2
E01003326,Lewisham 035A,6.1,19.4,14.4,60,24.5,19.4,26.2,78.8,5.2
E01003327,Lewisham 035B,6,24.5,11.6,62.5,15.7,19.9,18.9,87.8,4.1
E01003328,Lewisham 035C,9.2,22.4,12,62.5,21.1,14.3,31.6,80.4,6.8
E01003333,Lewisham 035D,5.5,17.5,14.3,58.6,23.4,14.2,27.2,84.6,4.5
E01003335,Lewisham 035E,11.8,17,22.2,51.6,31,12.8,56.9,81,5.5
E01003236,Lewisham 037A,10.4,19.4,25.3,59.7,21.3,12.8,42.6,80.4,7.2
E01003237,Lewisham 037B,10.3,17.6,27.6,62.1,19.2,13.2,40.5,77.9,6.7
E01003238,Lewisham 037C,11,16.8,25.5,59.6,26.4,14.2,39.3,79.4,5.8
E01003239,Lewisham 037D,11,16.3,23.9,53.2,29.4,12.2,45.6,79.4,6
E01032564,Lewisham 037E,13.1,15,24.2,59.8,21.4,13.8,42.3,79.5,6
E01003235,Lewisham 038A,10,22.2,14.9,63.2,20.6,23.7,28.9,79.7,6
E01003240,Lewisham 038B,10.8,17.5,26.5,60.4,23.8,13.7,38.2,78.2,6.6
E01003241,Lewisham 038C,12.8,20.3,11.7,49.9,30.1,19.4,42.9,74.2,7.9
E01003243,Lewisham 038D,10.6,17.7,19.4,55.5,26.6,14.5,36.3,76.3,6.7
E01032565,Lewisham 038E,9.8,12.9,19.4,60.5,19.6,11,50.2,77.7,9.1
E01003298,Lewisham 039A,12.6,10.3,23.2,28.7,46.1,5.1,56.8,84,5.3
E01003300,Lewisham 039B,13.6,13.4,25.7,31.4,46.7,6.4,63.8,80.2,6.3
E01003303,Lewisham 039C,10.5,14.3,17.9,38.4,35.2,9.5,38,84.6,4.5
E01003304,Lewisham 039D,11.2,15.3,12.8,42.1,30.3,4.5,35.2,83.8,5.1
E01032579,Lewisham 039E,11.3,12.4,16.2,44.7,31.4,6.6,50.5,82.1,6.2
E01003543,Newham 001A,7.7,14.6,13.4,38.5,19.9,15.9,28.1,84.3,4.5
E01003544,Newham 001B,10.9,14.3,17.3,34.2,29.7,15.7,19.3,85.1,5.2
E01003546,Newham 001C,12.3,10.9,19,20.1,34.5,11.1,37.1,83.5,5.1
E01003550,Newham 001D,9.5,15.2,14.9,30,25.1,15.1,28.8,82.2,7.5
E01003576,Newham 002A,13.4,7.6,18.6,18.9,25.2,6.3,48.6,81.6,6.6
E01003581,Newham 002B,13,14.4,16.7,13.8,17.6,19.1,11.3,81.3,6
E01003582,Newham 002C,12.2,16.2,18.6,19.8,19.9,13.4,30.1,81.2,6.8
E01003583,Newham 002D,15.1,13.7,15,20,16.9,18.6,11.5,80.5,4.8
E01003578,Newham 003A,12.8,8.8,16.1,20.3,18.6,9.8,17.3,84.8,4.4
E01003584,Newham 003B,11.4,15.4,16.1,28.6,15.2,20.1,15.2,83.6,5.5
E01003586,Newham 003C,10.9,14.7,14.3,17,13.5,17.9,10.8,82.3,5.9
E01003590,Newham 003D,12.5,10.5,17,29.5,23.4,9.3,52.3,76.4,8.5
E01003579,Newham 004A,11,11.6,13.6,13.2,13.5,17.8,19,82.3,5.7
E01003585,Newham 004B,11.3,17,11.8,9.4,11.6,25.6,8.4,82,6.8
E01003587,Newham 004C,9.6,14.3,16,19.9,18.1,8.7,28.7,82.5,6
E01003591,Newham 004D,12.6,13.6,17,17.6,18.7,10.3,30.3,82,6.6
E01003528,Newham 005A,10.9,10.9,18.3,12.2,21.4,11.1,56.4,80.4,6.3
E01003575,Newham 005B,11.2,15.1,16.7,15.4,17.9,18.5,19.1,81.3,6.2
E01003577,Newham 005C,16.6,9.5,23.3,20.2,31.5,3.7,66.1,80.1,7.7
E01003580,Newham 005D,12.8,12,19,19.8,24.1,12.4,30.6,81.2,5.4
E01003545,Newham 006A,9.8,14.3,17.7,33,31.6,11.2,42.9,83.1,6.1
E01003548,Newham 006B,8.3,15.6,12.2,42.8,21.8,10.9,24.4,84.8,5.2
E01003549,Newham 006C,8.1,12.9,15.8,39,23.4,12.2,34.8,83.2,6.8
E01003557,Newham 006D,12.1,12.6,11.8,26.8,21.6,11.1,25,83.8,4.4
E01003547,Newham 007A,7,20.7,13.2,46.8,16.7,21.2,18.5,82,5.5
E01003555,Newham 007B,8.7,17.2,8.4,20.7,10.7,23.4,15.2,83,5.5
E01003561,Newham 007C,9.8,17,11.2,8.2,11,22.7,8.9,85.5,4.3
E01003567,Newham 007D,13.7,14.6,12.8,11.3,15,18,16.9,82.5,4.9
E01003556,Newham 008A,9.7,9.7,13.7,27.7,22.1,7.5,41,84.2,6.1
E01003558,Newham 008B,12.3,11.6,12.6,19.3,17.9,16.3,15.9,80.7,8.7
E01003570,Newham 008C,11.7,13.7,8,13.4,11.1,17.3,14.5,82,6.2
E01003571,Newham 008D,10.1,14.3,10.1,7.5,10.2,23,8.9,84.1,6.1
E01003572,Newham 008E,10,12.3,11.2,11.3,12.8,26.5,13,83.9,5.2
E01003551,Newham 009A,13.8,16,15,32.2,22.3,12.3,22.2,84.2,5
E01003553,Newham 009B,11.6,10.9,18.3,35.5,25.3,6.7,44.3,83.1,6.3
E01003554,Newham 009C,6,15.9,10.6,44.8,16.7,18.5,21.3,84.5,6.3
E01003559,Newham 009D,6.6,17.2,12,46.1,18.2,9.5,23.6,87.1,3.8
E01003529,Newham 010A,9.3,18.9,10.2,6,6.7,26.8,7.9,82.6,6.1
E01003530,Newham 010B,9.5,17.3,10.3,7.6,5,28.8,8.5,81.9,5.9
E01003531,Newham 010C,7.8,15.1,9.7,10.4,6.4,21.5,21.9,81.6,6.7
E01003532,Newham 010D,9.1,18.1,8.4,8,7,33.3,10.7,80.4,5.6
E01003534,Newham 010E,11.2,15.2,11,10.2,10.1,19.8,8.1,82.1,5.9
E01003533,Newham 011A,10,15.8,11.2,11.6,9.8,22.6,19.3,81.4,7.2
E01003560,Newham 011B,8.5,19.2,12.1,9.2,9.9,27.5,7.1,82.6,4.9
E01003563,Newham 011C,12.6,12.8,10.4,13.6,11.5,17.8,7.8,84.1,4.2
E01003588,Newham 011D,12.1,15.9,11.7,7.8,10.1,22,14.5,81.9,6.3
E01003589,Newham 011E,11.2,15.4,8.6,16.7,9.8,20.1,7.8,85.8,4.5
E01003616,Newham 012A,9.4,17.6,14.3,38.1,25.7,7.1,34.3,81.4,6.3
E01003617,Newham 012B,6.6,15.1,11.2,40.6,22.3,4.5,36.9,85.5,5.3
E01003618,Newham 012C,5.7,18.6,9,47.5,14.6,13.7,19,86.1,4.4
E01003619,Newham 012D,12.3,14.4,10,39.6,23.6,4.3,38.5,85.2,4.5
E01003615,Newham 013C,9.7,16.2,10.9,38.2,24.3,12.1,33,83,5
E01033578,Newham 013E,8.1,16.7,11.3,40.2,22.3,2.2,24.5,90.3,3.3
E01033579,Newham 013F,5.9,18.1,7,41.2,14.2,3.4,20.9,92,2.2
E01033583,Newham 013G,8.3,17.3,11.6,40,20.7,7.6,30.6,85.3,5
E01033586,Newham 013H,10.7,16.9,13.7,40.6,24.4,6.5,45.2,84.3,5.2
E01003562,Newham 014A,11.2,18.8,7.8,9,9.4,26,8,83,5.6
E01003564,Newham 014B,7.9,14.3,8.9,10.4,8.8,19,12.5,84.5,5.4
E01003565,Newham 014C,9.9,11.7,8.3,8.6,7.5,19,12.5,85.4,5
E01003566,Newham 014D,9.5,10.1,15.4,10.4,10.8,16.4,28.4,83.3,6
E01003625,Newham 015A,11.7,12.4,12.8,18.6,9.4,13.2,18.4,83.8,5.3
E01003626,Newham 015B,7.3,17.6,11,12.6,5.4,20.7,4.3,85.8,4
E01003627,Newham 015C,10.6,18.1,9.3,13.1,8.5,26.4,10.6,83.1,4.5
E01003628,Newham 015D,9.3,20.7,9.3,15.7,5.8,23.1,6,83.9,5.3
E01003629,Newham 015E,10.8,16.4,7.9,12.6,5.1,19.1,6.7,82.4,5.6
E01003552,Newham 016A,11.4,17.5,15.3,25.8,22.3,15.6,22.4,82.7,5.2
E01003596,Newham 016B,9.5,13.2,14.7,28,17.6,16.1,26.3,81.3,5.6
E01003597,Newham 016C,10.9,13.1,9.1,18.9,15.8,19.6,18.3,81.8,5.8
E01003635,Newham 016D,6.7,19.6,12.1,43.6,16.5,24.5,18.3,83.8,4.7
E01003568,Newham 017A,11,17.3,10.4,9.8,8.8,28.8,14.1,81.5,6.1
E01003569,Newham 017B,10.7,13,10.6,7.8,9.4,19.6,10,82.5,5.5
E01003573,Newham 017C,11.6,14.6,9.8,8.9,10.8,25.5,10.5,81.2,6
E01003574,Newham 017D,9.1,14.8,10.5,15.2,13.7,19.3,20.2,81.7,6.6
E01003520,Newham 018A,9.5,14.1,10.1,13.1,7.1,15.6,19.7,81.1,6.3
E01003521,Newham 018B,5.6,14.8,6.7,17.8,4.9,14.6,8.7,87.3,4
E01003522,Newham 018C,9.6,12.7,12.2,13.6,8.4,18.2,13.5,84.9,4.9
E01003525,Newham 018D,9.1,15,8.5,12.8,10.8,19.8,10.4,83.8,4.7
E01003526,Newham 018E,11.8,12.4,9.6,17.1,13.1,21.3,16.4,82,6.4
E01003488,Newham 019A,15.7,10.8,17.8,19.6,26.5,7.3,65.5,77.9,9.2
E01003489,Newham 019B,13.2,10,19.6,17.7,17.5,8.1,49,80.6,7.2
E01003490,Newham 019C,11.8,11.9,13.9,15.2,14.4,13.5,21.3,82.7,4.9
E01003524,Newham 019D,9.9,14.2,11.9,15.3,11.2,19.7,16.2,83.3,5.8
E01003631,Newham 020A,9.8,20.6,12,37.3,23.9,7.3,33.4,83.2,5.6
E01003632,Newham 020B,7.9,17.2,13.6,35,20.5,16,19.4,84.4,4.4
E01003633,Newham 020C,14.3,9.2,18.8,26.3,38.5,3.4,72.8,79.6,6.6
E01003634,Newham 020D,11.8,16.3,22.3,31.2,27.6,5.6,55.5,80.5,6.7
E01003636,Newham 020E,11.2,13.1,19.7,33.3,30,7.1,49.4,82.6,6.3
E01003598,Newham 021A,16.1,10,23.6,24.3,33.7,5.8,61.1,82,6.3
E01003600,Newham 021B,12.8,10.7,16.5,30.4,25.9,8.1,57.5,81.5,6.7
E01003630,Newham 021C,8.6,13.5,15,30.8,29.9,6.7,52.1,82.2,5.7
E01003637,Newham 021D,8.5,16.7,10.6,38.2,21.8,18,24.8,83.3,5.3
E01003491,Newham 022A,10.1,14.1,8.9,11.9,10.6,14.1,30.5,80.1,6.6
E01003592,Newham 022B,8.1,13.3,13.5,25.2,17.9,18.2,27,80.7,5.9
E01003599,Newham 022C,11.5,10.9,15.6,22.6,17.1,14.5,39.5,81.3,5.2
E01003606,Newham 022D,10.4,13.8,13.9,26.7,20.5,16.1,19,84,5.4
E01003535,Newham 023A,15.2,12.8,23,33.5,28.1,4.9,55.3,75.9,7.4
E01003536,Newham 023B,10.1,16.1,20.2,31,22.9,15.6,20.1,83.5,5.4
E01003621,Newham 023C,9.8,14.5,11.5,16.9,10,17.2,12.9,84.4,4.3
E01003622,Newham 023D,11.6,13.1,14.7,18.8,19.5,12.1,30,83.6,5.2
E01003623,Newham 023E,12.6,12.2,19.6,22.7,19.9,10.6,30.8,82,6
E01003523,Newham 024A,10.7,14.5,11.5,23.3,15.4,16.9,29.3,81.4,6.5
E01003527,Newham 024B,8.6,18.9,13,33.2,14.1,22.5,9.5,84.7,4.5
E01003537,Newham 024C,9.4,14.8,15.7,34.4,13.9,18.3,15,85.4,4.8
E01003542,Newham 024D,11.6,14.5,21.4,29.2,23.4,12.1,46.6,81,6.8
E01003624,Newham 024E,9.2,17.2,17.2,28.6,19.5,16.2,34.3,80.6,6.1
E01003492,Newham 025A,10.3,17.2,10.1,19,13.7,22,8,83.4,5.5
E01003493,Newham 025B,9.3,16.8,7.9,22.4,13.9,18.2,18.9,83.2,5.5
E01003494,Newham 025C,6.6,15.8,15.2,29.3,13.5,20.2,8.1,84.9,4.3
E01003495,Newham 025D,7,20.6,11.1,37.8,15.1,20.9,5.8,86.7,3.6
E01003594,Newham 026A,11.8,15.6,16.9,28.3,22.5,9.8,31.7,81.8,7.2
E01003595,Newham 026B,10.6,11.7,13.1,31.9,24.3,8.8,51.1,80.7,6.9
E01003602,Newham 026C,10.1,14.4,15.9,32,25.7,16.4,21,83.4,5.4
E01003607,Newham 026D,9.7,14.8,21.8,33.4,23.1,10.7,36.8,83.7,5.6
E01003496,Newham 027A,11.8,12,15.4,32.3,33.2,4.1,53,84.7,5.1
E01003498,Newham 027B,12.4,13.5,19.6,42.2,27.9,6.7,48.5,80.2,5.6
E01003500,Newham 027C,14.5,16.3,20.5,45,30.7,7.1,49.7,81.7,5.1
E01003593,Newham 027D,12.8,10.6,20.4,30.1,29.7,8.8,51,81,6.2
E01003601,Newham 028A,12.6,14.5,20.9,36.8,25.8,13,37.6,82.9,6.2
E01003603,Newham 028B,10.3,17.1,16.5,34.6,20.8,18.6,12,84.4,5.3
E01003605,Newham 028C,9.9,13.3,12.2,24,23.2,15.6,28.9,81.4,5
E01003608,Newham 028D,10.6,21,14.1,39,19.7,17.8,10.6,85.9,3.8
E01003538,Newham 029A,12.4,13,15,28.1,26,12.1,32.7,82.4,5.7
E01003539,Newham 029B,9.4,14.7,15.7,30.7,21.4,16.7,20,83.8,5.2
E01003540,Newham 029C,12.3,11.1,22.5,37.2,25.5,11.3,43.5,80.3,6.5
E01003541,Newham 029D,9.5,16.3,14.6,34.7,21.2,18.9,18.6,85,5
E01003499,Newham 030A,13.9,11,20.8,39.4,27.9,8.5,54.6,76.6,8.4
E01003501,Newham 030B,12,15.5,19.7,38.7,27,10.6,39,80,6.9
E01003502,Newham 030C,12.2,15.4,16.1,38.5,33.8,9,44.1,80.6,6.6
E01003503,Newham 030D,17.8,10.8,20.4,35,38.2,4.8,63.8,77.9,7.2
E01003507,Newham 031A,11.1,14.7,14.1,43.9,26,14.3,32.5,80.3,6.5
E01003508,Newham 031B,12.7,11.9,20.4,41.7,26,12.3,40.2,82.7,5.9
E01003509,Newham 031C,11.3,12.1,19.5,58.5,21,4.9,16.9,81.7,7.1
E01003604,Newham 031D,11.2,12.7,20.6,35.5,27,10.6,33.8,84.9,4.6
E01003483,Newham 032A,10.3,16.5,23,35.3,22.9,6.3,58.3,79.5,8.4
E01003484,Newham 032B,8.3,16.8,17.5,47.7,18.1,8.3,9.9,88.3,3.8
E01003516,Newham 032C,14,12.6,25.3,40.9,34.2,5.4,61.7,79.8,7.8
E01003518,Newham 032D,7.4,17.3,13.6,49,22.3,13.9,15.6,86.3,3.9
E01003519,Newham 032E,9.2,17.8,16.1,38.9,31.1,13.4,31.6,86,4.6
E01003480,Newham 033A,6.9,16.8,14,50,17.2,7.3,38.4,86,4.7
E01003482,Newham 033B,8.5,16.7,16,41.8,21.7,4.5,25.3,87.4,3.2
E01003486,Newham 033C,15.9,12.5,27.9,33.7,32.1,0.9,81.8,72.6,10.2
E01003487,Newham 033D,13.9,11.1,21.2,38.1,23,3.5,64.6,80,6.3
E01003497,Newham 034A,11.4,15.4,20.9,54.2,22.7,9.5,41,78.3,8.6
E01003506,Newham 034D,11.1,16.2,22.1,44.5,30.5,6.7,55.8,77.8,7.8
E01033574,Newham 034F,3.5,27.5,1,41.8,10,3.6,3.6,94.6,1.1
E01033575,Newham 034G,4.7,32.3,1.8,44.1,7.2,1.8,5.5,95.4,0.4
E01033576,Newham 034H,7.3,25.1,7.9,46.9,15.8,7,27.3,86.7,4.6
E01033584,Newham 034I,9.5,16.8,20.9,45.8,30.8,5,65.4,81.8,6.1
E01033585,Newham 034J,12.6,15.4,15.8,44.4,26.9,4.9,52,81.7,6.7
E01003479,Newham 035A,10.1,19.4,16.2,58.9,19.1,11.6,19.3,85.6,4.7
E01003481,Newham 035B,8.4,18.6,18.2,54.6,19.9,7.8,44.2,83.1,6.4
E01003485,Newham 035C,8.2,17.7,16.1,49.8,16.8,13.9,16.4,85.4,4.5
E01003513,Newham 035D,7.7,16.7,15.6,51,20,11.1,12,88.2,3.7
E01003511,Newham 036A,15.3,13.7,33.4,39.2,38.1,5.3,69,80.3,7
E01003512,Newham 036B,9.3,14.6,20.5,50.9,28,10.2,43.7,80.8,8.2
E01003514,Newham 036C,12.8,15,22.9,54.5,25.7,5.8,54.1,81.5,6.8
E01003515,Newham 036D,12.4,13.2,18,43.2,33.4,6,55.6,80.2,6.6
E01003517,Newham 036E,10,15.4,22.1,44.6,32,5.3,48.1,82.4,6.5
E01003609,Newham 037A,10.2,17.6,18.7,45.5,24.7,5.8,38.8,86.6,4.3
E01003611,Newham 037C,14,11,24.7,30.4,44.2,4.7,60.4,84.6,5.5
E01033577,Newham 037E,5.1,20.4,11.8,51.3,18.3,5.8,23.5,89.9,2.8
