population_density,population_density_log
12.6,2.533696814
28.2,3.339321978
91.7,4.518522379
32.2,3.471966453
20,2.995732274
35.4,3.56671182
58.9,4.075841091
22.7,3.122364924
24.5,3.198673118
16.9,2.827313622
15.9,2.766319109
27,3.295836866
83.8,4.428433007
45.8,3.824284091
14,2.63905733
26.8,3.288401888
105.9,4.662495253
10.8,2.379546134
12.2,2.501435952
22.1,3.095577609
15.2,2.721295428
8.7,2.163323026
13.8,2.624668592
59.2,4.080921542
43.9,3.78191432
9.3,2.2300144
17,2.833213344
9.5,2.251291799
6.9,1.931521412
13,2.564949357
12.7,2.541601993
15.8,2.76000994
19.3,2.960105096
8.3,2.116255515
57.3,4.048300624
12.6,2.533696814
10.4,2.341805806
10.8,2.379546134
32.5,3.481240089
8.1,2.091864062
6.5,1.871802177
5.7,1.740466175
11.2,2.415913778
10.5,2.351375257
8.5,2.140066163
8.5,2.140066163
8.3,2.116255515
9.6,2.261763098
5.9,1.774952351
13.3,2.587764035
9.8,2.282382386
8.2,2.104134154
8.2,2.104134154
4,1.386294361
10.2,2.32238772
6.5,1.871802177
35.5,3.569532696
10.7,2.370243741
6.9,1.931521412
8.2,2.104134154
3.5,1.252762968
27.1,3.299533728
16.6,2.809402695
14.7,2.687847494
6.1,1.808288771
7.3,1.987874348
5.8,1.757857918
6.9,1.931521412
8,2.079441542
8.8,2.174751721
10.6,2.360854001
8.7,2.163323026
11.7,2.459588842
20.2,3.005682604
21.1,3.04927304
5.2,1.648658626
13.5,2.602689685
7.7,2.041220329
16.2,2.785011242
16.5,2.803360381
15.5,2.740840024
29.3,3.377587516
9.6,2.261763098
9.5,2.251291799
16.9,2.827313622
12.2,2.501435952
21.5,3.068052935
8.3,2.116255515
12.7,2.541601993
9.2,2.219203484
15.1,2.714694744
8.5,2.140066163
10.5,2.351375257
10.3,2.332143895
14.2,2.653241965
7.1,1.960094784
7.6,2.028148247
8.4,2.128231706
21.2,3.054001182
20.4,3.015534901
10.7,2.370243741
18.2,2.901421594
19.1,2.949688335
12.5,2.525728644
15.6,2.747270914
10.3,2.332143895
11.7,2.459588842
13.8,2.624668592
11.9,2.4765384
10,2.302585093
9,2.197224577
10.4,2.341805806
13.7,2.617395833
8.1,2.091864062
13.4,2.595254707
9.2,2.219203484
5.2,1.648658626
10.3,2.332143895
9.1,2.208274414
12.7,2.541601993
17.1,2.839078464
9.4,2.240709689
9.8,2.282382386
16.1,2.778819272
15.3,2.727852828
14.3,2.660259537
12.6,2.533696814
8.2,2.104134154
5,1.609437912
22.2,3.100092289
7.1,1.960094784
10.3,2.332143895
15,2.708050201
21.3,3.058707073
8.1,2.091864062
13.5,2.602689685
11.6,2.451005098
32.6,3.484312288
12,2.48490665
30.2,3.407841924
20,2.995732274
13.3,2.587764035
8.1,2.091864062
11.6,2.451005098
31.3,3.443618098
3,1.098612289
35.2,3.561046083
6.7,1.902107526
9.1,2.208274414
41.3,3.7208625
14.7,2.687847494
8.5,2.140066163
13.9,2.63188884
8.1,2.091864062
12.6,2.533696814
3.5,1.252762968
8.2,2.104134154
13.6,2.610069793
4.4,1.481604541
8.1,2.091864062
3.4,1.223775432
20.4,3.015534901
43.1,3.763522997
35.1,3.55820113
5.5,1.704748092
7.7,2.041220329
69,4.234106505
9.5,2.251291799
13.4,2.595254707
15.1,2.714694744
65.7,4.185098925
15.5,2.740840024
38.2,3.642835516
12.1,2.493205453
32.9,3.493472658
11.4,2.433613355
26.5,3.277144733
13.6,2.610069793
13.9,2.63188884
11.6,2.451005098
5.2,1.648658626
11.7,2.459588842
10.9,2.388762789
11.4,2.433613355
10.4,2.341805806
12.6,2.533696814
6,1.791759469
8.7,2.163323026
14.3,2.660259537
12.4,2.517696473
9.6,2.261763098
37.5,3.624340933
19.5,2.970414466
10.6,2.360854001
16.8,2.821378886
9.6,2.261763098
7.7,2.041220329
11.8,2.468099531
11.4,2.433613355
9.5,2.251291799
25.7,3.246490992
15.1,2.714694744
10.7,2.370243741
12.9,2.557227311
16.7,2.815408719
40.8,3.708682081
10,2.302585093
8.7,2.163323026
10.8,2.379546134
9.3,2.2300144
38.6,3.653252276
16.2,2.785011242
13.8,2.624668592
20.6,3.025291076
27.5,3.314186005
10.1,2.312535424
20.2,3.005682604
27.4,3.310543013
22.6,3.117949906
16.6,2.809402695
20.8,3.034952987
13.8,2.624668592
16.6,2.809402695
16.4,2.797281335
10.5,2.351375257
21.3,3.058707073
23.1,3.139832618
21,3.044522438
54.1,3.990834186
44.6,3.797733859
15.8,2.76000994
16.5,2.803360381
19.8,2.985681938
19.9,2.990719732
18.1,2.895911938
20,2.995732274
10.8,2.379546134
22.6,3.117949906
17.7,2.87356464
52.3,3.956996371
78.6,4.364371699
22,3.091042453
20.2,3.005682604
39.3,3.671224519
15.9,2.766319109
20.5,3.020424886
9.4,2.240709689
14.4,2.667228207
14.4,2.667228207
14,2.63905733
12.1,2.493205453
15.3,2.727852828
12.3,2.509599262
30.4,3.414442608
14,2.63905733
11.5,2.442347035
10.7,2.370243741
43.8,3.779633817
14.9,2.701361213
11.1,2.406945108
14,2.63905733
14.2,2.653241965
22.4,3.109060959
14.4,2.667228207
11.8,2.468099531
24.4,3.194583132
13.1,2.57261223
14.8,2.694627181
19.2,2.954910279
13.2,2.58021683
10.3,2.332143895
22.8,3.126760536
11.4,2.433613355
16.2,2.785011242
8.3,2.116255515
28.8,3.360375387
11.8,2.468099531
12.3,2.509599262
168.2,5.125153748
11.8,2.468099531
17.7,2.87356464
16.7,2.815408719
20.2,3.005682604
40.2,3.693866996
21.5,3.068052935
22.5,3.113515309
14,2.63905733
14.3,2.660259537
11.1,2.406945108
10.9,2.388762789
10.5,2.351375257
7.9,2.066862759
45.4,3.815512105
31.1,3.437207819
27,3.295836866
21,3.044522438
14.7,2.687847494
9.2,2.219203484
12.4,2.517696473
24.9,3.214867803
57.8,4.056988776
27.7,3.321432413
12.3,2.509599262
16.4,2.797281335
15.3,2.727852828
14.2,2.653241965
10.3,2.332143895
10.8,2.379546134
11.5,2.442347035
16.6,2.809402695
11.9,2.4765384
15.3,2.727852828
10.6,2.360854001
18.1,2.895911938
12.7,2.541601993
17.2,2.844909384
27.6,3.317815773
11.3,2.424802726
9,2.197224577
12.3,2.509599262
12,2.48490665
11.7,2.459588842
8.7,2.163323026
8.8,2.174751721
28.6,3.353406718
10.1,2.312535424
14.2,2.653241965
17.8,2.879198457
10.6,2.360854001
43.1,3.763522997
13.9,2.63188884
10.4,2.341805806
10,2.302585093
14.2,2.653241965
12.2,2.501435952
13.6,2.610069793
21.4,3.063390922
12.6,2.533696814
13.6,2.610069793
11.4,2.433613355
30.1,3.404525172
15.2,2.721295428
12.2,2.501435952
11.7,2.459588842
13.2,2.58021683
19.5,2.970414466
19.5,2.970414466
8.1,2.091864062
45,3.80666249
21.5,3.068052935
21.4,3.063390922
17.6,2.867898902
12.9,2.557227311
7.9,2.066862759
10,2.302585093
27.3,3.306886702
18.6,2.923161581
7.5,2.014903021
6.1,1.808288771
7.4,2.00148
9.7,2.272125886
11.8,2.468099531
11.8,2.468099531
8,2.079441542
8.8,2.174751721
9,2.197224577
7.1,1.960094784
8.7,2.163323026
7.7,2.041220329
9.6,2.261763098
8.2,2.104134154
14,2.63905733
12.9,2.557227311
8.1,2.091864062
5.9,1.774952351
7.9,2.066862759
20.8,3.034952987
6.8,1.916922612
8.9,2.186051277
6.4,1.85629799
5.3,1.667706821
11.4,2.433613355
6.8,1.916922612
10,2.302585093
113.1,4.728272383
8.3,2.116255515
16.4,2.797281335
5.3,1.667706821
5.5,1.704748092
5.8,1.757857918
5,1.609437912
7.2,1.974081026
7.4,2.00148
8.3,2.116255515
11.5,2.442347035
12.4,2.517696473
16.8,2.821378886
5.3,1.667706821
17.4,2.856470206
34,3.526360525
17.9,2.884800713
9.9,2.292534757
29.3,3.377587516
12.4,2.517696473
10.2,2.32238772
13.3,2.587764035
9,2.197224577
9.3,2.2300144
11,2.397895273
29.4,3.380994674
26.8,3.288401888
51.3,3.937690752
10.8,2.379546134
9.1,2.208274414
11.8,2.468099531
15.1,2.714694744
7.2,1.974081026
2.7,0.993251773
8.3,2.116255515
11.4,2.433613355
13,2.564949357
8,2.079441542
6.3,1.840549633
9.2,2.219203484
21,3.044522438
17.6,2.867898902
9.3,2.2300144
10.2,2.32238772
5.5,1.704748092
5.7,1.740466175
4.7,1.547562509
8.2,2.104134154
5.6,1.722766598
6.7,1.902107526
9.4,2.240709689
11.7,2.459588842
32.5,3.481240089
47.9,3.869115504
119,4.779123493
52,3.951243719
18.5,2.917770732
74.8,4.314817885
192.4,5.259576538
23.6,3.161246712
34.9,3.552486829
15.1,2.714694744
67.5,4.212127598
7,1.945910149
45.2,3.811097087
10.8,2.379546134
8.7,2.163323026
4.9,1.589235205
4.9,1.589235205
20.2,3.005682604
4,1.386294361
10.8,2.379546134
4.7,1.547562509
13.8,2.624668592
8.4,2.128231706
3.6,1.280933845
5.9,1.774952351
8.6,2.151762203
13.1,2.57261223
5.5,1.704748092
25.7,3.246490992
5.9,1.774952351
6.6,1.887069649
4.8,1.568615918
7.2,1.974081026
8.1,2.091864062
9.2,2.219203484
2.9,1.064710737
5.6,1.722766598
147.5,4.993828176
14.4,2.667228207
25.7,3.246490992
28.6,3.353406718
84.4,4.435567402
37.6,3.62700405
19.5,2.970414466
29.7,3.391147046
27.8,3.325036021
15.4,2.734367509
51.4,3.939638172
23.3,3.148453361
21.4,3.063390922
153.2,5.031744257
18.1,2.895911938
21.2,3.054001182
16.4,2.797281335
37.5,3.624340933
25.6,3.242592351
14.5,2.674148649
55,4.007333185
61.1,4.112511866
22.1,3.095577609
20.9,3.039749159
23.4,3.152736022
17.6,2.867898902
23.1,3.139832618
18.6,2.923161581
16.1,2.778819272
18,2.890371758
25.3,3.230804396
16.9,2.827313622
12.8,2.549445171
20.7,3.0301337
12.9,2.557227311
15.3,2.727852828
17.4,2.856470206
28.1,3.335769576
19.9,2.990719732
15.8,2.76000994
17.4,2.856470206
31,3.433987204
39.7,3.681351188
41.9,3.735285827
53.6,3.981549068
24.2,3.186352633
24.5,3.198673118
19.3,2.960105096
20.1,3.000719815
39.2,3.668676747
27.1,3.299533728
14.8,2.694627181
28.5,3.349904087
16.4,2.797281335
51.7,3.945457782
19.1,2.949688335
20.8,3.034952987
34.1,3.529297384
20.8,3.034952987
15,2.708050201
14.5,2.674148649
14,2.63905733
70.1,4.249922794
22,3.091042453
22.1,3.095577609
21.9,3.086486637
20,2.995732274
19.5,2.970414466
35.2,3.561046083
13.9,2.63188884
14.7,2.687847494
12.8,2.549445171
9.2,2.219203484
17.1,2.839078464
34,3.526360525
15.3,2.727852828
23.1,3.139832618
29.8,3.394508394
15.6,2.747270914
52,3.951243719
17.1,2.839078464
14.6,2.681021529
24.4,3.194583132
18.2,2.901421594
229.5,5.43590303
17.1,2.839078464
26.6,3.280911216
13.8,2.624668592
20,2.995732274
264.5,5.577841251
18.1,2.895911938
37.3,3.618993327
22.6,3.117949906
14.6,2.681021529
195.5,5.275560379
6.5,1.871802177
21.2,3.054001182
6.7,1.902107526
26.6,3.280911216
14,2.63905733
24.6,3.202746443
29.4,3.380994674
60.3,4.099332104
60.2,4.097672352
18.4,2.912350665
18.7,2.928523524
17.9,2.884800713
17.5,2.862200881
31,3.433987204
12.8,2.549445171
27.1,3.299533728
81.3,4.398146017
58.2,4.063885355
152.7,5.028475212
28.8,3.360375387
27.4,3.310543013
60.2,4.097672352
107.6,4.678420648
26.6,3.280911216
22.3,3.104586678
23.5,3.157000421
37,3.610917913
31.4,3.446807893
23.9,3.173878459
54.4,3.996364154
20.2,3.005682604
27.3,3.306886702
33.7,3.517497837
28.1,3.335769576
25,3.218875825
33.1,3.499533282
28,3.33220451
25.3,3.230804396
27.2,3.303216973
25.2,3.226843995
29.7,3.391147046
33.3,3.505557397
36.6,3.60004824
18.9,2.939161922
50.1,3.914021008
288.6,5.665041646
331.7,5.804230946
504.3,6.223171329
101.6,4.621043535
26.9,3.292126287
204.7,5.321545493
34.2,3.532225644
47,3.850147602
32.9,3.493472658
26.9,3.292126287
52.9,3.968403339
27.4,3.310543013
24.5,3.198673118
39.7,3.681351188
24.5,3.198673118
23.6,3.161246712
33.1,3.499533282
28.6,3.353406718
37.6,3.62700405
52.7,3.964615456
25.6,3.242592351
21.1,3.04927304
64.2,4.162003211
26.7,3.284663565
23.3,3.148453361
20.5,3.020424886
33.1,3.499533282
18.5,2.917770732
33,3.496507561
27.6,3.317815773
17.5,2.862200881
31.5,3.449987546
28,3.33220451
27.1,3.299533728
36.5,3.597312261
29.8,3.394508394
26.5,3.277144733
25.5,3.238678452
21.6,3.072693315
318.9,5.764877574
16.2,2.785011242
24.8,3.210843653
25.4,3.234749174
27,3.295836866
49.3,3.897924081
30.3,3.411147713
24.3,3.19047635
18.2,2.901421594
27.1,3.299533728
56.2,4.028916757
79.8,4.379523504
39.4,3.673765816
37.8,3.632309103
106.8,4.670957927
68,4.219507705
119.7,4.784988613
221,5.398162702
28.4,3.346389145
30.4,3.414442608
33.2,3.502549876
17.3,2.850706502
25.6,3.242592351
16.5,2.803360381
17.4,2.856470206
21.7,3.077312261
17.1,2.839078464
27.2,3.303216973
21.4,3.063390922
51.3,3.937690752
27.5,3.314186005
28.7,3.356897123
21.7,3.077312261
17.8,2.879198457
17.1,2.839078464
15.4,2.734367509
15.6,2.747270914
27.6,3.317815773
35.1,3.55820113
18,2.890371758
12.6,2.533696814
19.1,2.949688335
54.7,4.001863709
18.5,2.917770732
50.6,3.923951576
27.7,3.321432413
20.4,3.015534901
22.2,3.100092289
26.6,3.280911216
30.8,3.42751469
20.1,3.000719815
24.7,3.206803244
17.2,2.844909384
33.6,3.514526067
15.9,2.766319109
32.9,3.493472658
33.8,3.520460802
31.7,3.456316681
128.4,4.855150391
81.6,4.401829262
16.1,2.778819272
14.2,2.653241965
18.5,2.917770732
16.5,2.803360381
13.5,2.602689685
22,3.091042453
41.8,3.73289634
68.6,4.228292535
23.2,3.144152279
40.6,3.703768067
15.9,2.766319109
24.6,3.202746443
27.8,3.325036021
39.4,3.673765816
22.6,3.117949906
30.5,3.417726684
16.9,2.827313622
14.4,2.667228207
17.1,2.839078464
14.3,2.660259537
21.9,3.086486637
12.4,2.517696473
20.2,3.005682604
23.4,3.152736022
29.1,3.370738174
68.3,4.223909767
14,2.63905733
43,3.761200116
44.1,3.786459782
34,3.526360525
29,3.36729583
32.5,3.481240089
27.6,3.317815773
18.4,2.912350665
22.4,3.109060959
18.1,2.895911938
25.1,3.222867846
23.1,3.139832618
132.1,4.883559212
34.7,3.546739687
40.7,3.706228092
49.6,3.903990834
42.5,3.749504076
22.9,3.131136911
21.1,3.04927304
30.5,3.417726684
34.9,3.552486829
38,3.63758616
40.1,3.691376334
27.4,3.310543013
34.8,3.549617387
19.5,2.970414466
21.5,3.068052935
46.5,3.839452313
68.9,4.232656178
14.7,2.687847494
52.9,3.968403339
14.7,2.687847494
21.8,3.08190997
20.7,3.0301337
21.9,3.086486637
15.2,2.721295428
19.1,2.949688335
15.3,2.727852828
31.1,3.437207819
33.1,3.499533282
52.1,3.953164949
19.8,2.985681938
20.7,3.0301337
33.1,3.499533282
37.1,3.61361697
42.2,3.742420221
54.5,3.998200702
50.2,3.916015027
26.2,3.265759411
19.9,2.990719732
41.6,3.728100167
16.1,2.778819272
12.3,2.509599262
35.1,3.55820113
14.6,2.681021529
17.5,2.862200881
236,5.463831805
17.2,2.844909384
29.3,3.377587516
38,3.63758616
17.9,2.884800713
51.6,3.943521672
10.4,2.341805806
14.5,2.674148649
26.8,3.288401888
36.1,3.586292865
29.1,3.370738174
139.4,4.937347498
18.1,2.895911938
27.5,3.314186005
17.3,2.850706502
62.6,4.136765278
17,2.833213344
38.8,3.658420247
108.8,4.689511334
27.8,3.325036021
31.2,3.440418095
42.9,3.758871826
43.3,3.768152635
26.5,3.277144733
74.5,4.310799125
26.4,3.27336401
27.5,3.314186005
30.7,3.424262655
26.6,3.280911216
18.3,2.90690106
25.2,3.226843995
24.2,3.186352633
23.6,3.161246712
8.9,2.186051277
31,3.433987204
151,5.017279837
14.7,2.687847494
46.1,3.83081295
31.1,3.437207819
154.8,5.042133961
30.9,3.430756184
20.2,3.005682604
20.4,3.015534901
28.9,3.363841595
22.9,3.131136911
20.8,3.034952987
15.9,2.766319109
26.2,3.265759411
23.8,3.169685581
22.9,3.131136911
22.5,3.113515309
17.5,2.862200881
33.8,3.520460802
20.5,3.020424886
42.1,3.740047741
29.5,3.384390263
27.7,3.321432413
27,3.295836866
21,3.044522438
20.5,3.020424886
26.3,3.269568939
16.9,2.827313622
39.1,3.666122467
27.3,3.306886702
26.6,3.280911216
32.6,3.484312288
23.1,3.139832618
44,3.784189634
39.4,3.673765816
34.1,3.529297384
23.6,3.161246712
23.7,3.165475048
53,3.970291914
22.1,3.095577609
22.7,3.122364924
19.1,2.949688335
29.5,3.384390263
22.9,3.131136911
39.2,3.668676747
54.3,3.994524227
48.1,3.873282177
25.5,3.238678452
53.4,3.977810746
23.3,3.148453361
32.1,3.46885603
21.9,3.086486637
27.3,3.306886702
24.5,3.198673118
20.7,3.0301337
74.4,4.309455942
42.9,3.758871826
55,4.007333185
43.1,3.763522997
126.2,4.83786795
32.4,3.478158423
29.3,3.377587516
33.3,3.505557397
28.5,3.349904087
41.9,3.735285827
44.2,3.788724789
54.5,3.998200702
27.6,3.317815773
34.8,3.549617387
19.7,2.980618636
26.9,3.292126287
34.4,3.538056564
46.5,3.839452313
24.3,3.19047635
21.9,3.086486637
30.3,3.411147713
20.8,3.034952987
51.6,3.943521672
43.3,3.768152635
138,4.927253685
99.2,4.597138014
45.6,3.819907717
45.7,3.822098298
31.3,3.443618098
27.4,3.310543013
59.1,4.079230924
28,3.33220451
54.1,3.990834186
25.5,3.238678452
22.6,3.117949906
28.3,3.342861805
36.7,3.602776755
23.6,3.161246712
38.6,3.653252276
25.6,3.242592351
40.7,3.706228092
29.8,3.394508394
46.3,3.835141961
58.5,4.069026754
30,3.401197382
30.7,3.424262655
89.3,4.492001488
33.8,3.520460802
31,3.433987204
205.7,5.326418797
278.6,5.629777061
59.7,4.08933202
55.2,4.010962953
23.4,3.152736022
29.2,3.374168709
28.2,3.339321978
55.4,4.014579594
19.8,2.985681938
29.1,3.370738174
26.7,3.284663565
19.8,2.985681938
18.1,2.895911938
24.3,3.19047635
16.8,2.821378886
15.7,2.753660712
24.6,3.202746443
24.3,3.19047635
35,3.555348061
38.2,3.642835516
22.9,3.131136911
19.6,2.975529566
32.3,3.47506723
41.9,3.735285827
33.4,3.5085559
39.9,3.686376324
28.4,3.346389145
37.6,3.62700405
24.4,3.194583132
50,3.912023005
73.3,4.294560609
19.1,2.949688335
26.4,3.27336401
18.3,2.90690106
29.8,3.394508394
31.2,3.440418095
17.8,2.879198457
74.4,4.309455942
30.7,3.424262655
21.5,3.068052935
23.6,3.161246712
22,3.091042453
27,3.295836866
34.6,3.543853682
31.2,3.440418095
37.5,3.624340933
20.9,3.039749159
80.5,4.388257184
37.7,3.629660094
31.4,3.446807893
25.4,3.234749174
34.2,3.532225644
22.6,3.117949906
26.8,3.288401888
28.5,3.349904087
62.6,4.136765278
20.7,3.0301337
24.1,3.18221184
30.2,3.407841924
52.8,3.966511191
16.1,2.778819272
37.6,3.62700405
40.5,3.701301974
13.3,2.587764035
35.2,3.561046083
29.3,3.377587516
33,3.496507561
20.3,3.010620886
18.6,2.923161581
19.6,2.975529566
56.8,4.039536326
21.8,3.08190997
29.4,3.380994674
13,2.564949357
17.6,2.867898902
16.8,2.821378886
22.1,3.095577609
35.3,3.563882964
14.2,2.653241965
21.7,3.077312261
20.7,3.0301337
9.8,2.282382386
11.7,2.459588842
17.4,2.856470206
20.6,3.025291076
23.6,3.161246712
24.8,3.210843653
12.3,2.509599262
66.5,4.197201948
27.1,3.299533728
18.3,2.90690106
21.3,3.058707073
42.9,3.758871826
18,2.890371758
14.5,2.674148649
15.7,2.753660712
23.1,3.139832618
15.2,2.721295428
11.4,2.433613355
28.6,3.353406718
25.6,3.242592351
25.3,3.230804396
16.5,2.803360381
16.9,2.827313622
17.1,2.839078464
43.9,3.78191432
21.4,3.063390922
23.3,3.148453361
21.3,3.058707073
19,2.944438979
69.6,4.242764567
13.4,2.595254707
12.3,2.509599262
16.9,2.827313622
17.2,2.844909384
16.3,2.791165108
7.2,1.974081026
9.7,2.272125886
15.9,2.766319109
12.3,2.509599262
13.2,2.58021683
21.9,3.086486637
17.2,2.844909384
20.8,3.034952987
11.8,2.468099531
29.4,3.380994674
12.3,2.509599262
10.8,2.379546134
57.1,4.044804117
22.9,3.131136911
14.1,2.646174797
14.4,2.667228207
13.9,2.63188884
12.6,2.533696814
11.1,2.406945108
13.9,2.63188884
19.7,2.980618636
22.7,3.122364924
38.5,3.650658241
28.6,3.353406718
19.2,2.954910279
8.8,2.174751721
202.7,5.311727053
26.5,3.277144733
11.6,2.451005098
9.5,2.251291799
7.6,2.028148247
10.8,2.379546134
11.1,2.406945108
43.3,3.768152635
17.4,2.856470206
31.2,3.440418095
19.2,2.954910279
28.5,3.349904087
31.9,3.46260601
37.2,3.616308761
15.8,2.76000994
18.7,2.928523524
16.6,2.809402695
14,2.63905733
15.8,2.76000994
15.6,2.747270914
18.7,2.928523524
18.8,2.93385687
6.2,1.824549292
14.5,2.674148649
11.3,2.424802726
44.6,3.797733859
19.4,2.965273066
19.5,2.970414466
14.9,2.701361213
17.6,2.867898902
10.8,2.379546134
10.3,2.332143895
15.4,2.734367509
12.6,2.533696814
10,2.302585093
7.2,1.974081026
14.2,2.653241965
13.7,2.617395833
8.7,2.163323026
116.1,4.754451889
21,3.044522438
17.2,2.844909384
28.4,3.346389145
18.9,2.939161922
21,3.044522438
138.6,4.931592087
33.3,3.505557397
24.2,3.186352633
35.3,3.563882964
22.4,3.109060959
21.6,3.072693315
18.5,2.917770732
26.1,3.261935314
66.3,4.194189897
16.1,2.778819272
71.5,4.26969745
13.6,2.610069793
26.7,3.284663565
46.8,3.845883203
18.1,2.895911938
24.3,3.19047635
54.3,3.994524227
28.2,3.339321978
33.2,3.502549876
33.8,3.520460802
78,4.356708827
85.4,4.447346101
100.9,4.614129927
75.7,4.32677816
205.9,5.327390614
51.9,3.94931879
20.1,3.000719815
33.2,3.502549876
59.4,4.084294226
22.2,3.100092289
24.4,3.194583132
16.5,2.803360381
17.6,2.867898902
31.3,3.443618098
21.4,3.063390922
9.9,2.292534757
13.5,2.602689685
23.1,3.139832618
16.4,2.797281335
266.5,5.585374244
112.8,4.725616339
39.7,3.681351188
36.8,3.605497845
32.7,3.487375078
47.7,3.864931398
40.2,3.693866996
31.3,3.443618098
34.1,3.529297384
36,3.583518938
41.5,3.725693427
30.1,3.404525172
68.5,4.226833745
32.3,3.47506723
20,2.995732274
13.8,2.624668592
24.1,3.18221184
30.1,3.404525172
65.5,4.182050143
26,3.258096538
37.3,3.618993327
51.4,3.939638172
51.5,3.941581808
22.5,3.113515309
13.7,2.617395833
13.4,2.595254707
32.6,3.484312288
15.2,2.721295428
18.5,2.917770732
35.2,3.561046083
25.2,3.226843995
37.9,3.634951112
49.7,3.906004933
29.9,3.39785848
48.4,3.879499814
57.7,4.055257174
38.2,3.642835516
32,3.465735903
22.3,3.104586678
34.9,3.552486829
750.6,6.620872887
26.6,3.280911216
41.2,3.718438256
274.8,5.61604356
29.1,3.370738174
70.2,4.251348311
17.3,2.850706502
34.3,3.535145354
29.5,3.384390263
51.8,3.947390149
37.4,3.621670704
59.3,4.082609306
40.6,3.703768067
35.9,3.580737295
88.6,4.484131858
57.8,4.056988776
80.1,4.383275854
54.3,3.994524227
57.8,4.056988776
33.9,3.523415014
23.4,3.152736022
35.4,3.56671182
37.4,3.621670704
120.1,4.788324729
31.1,3.437207819
111,4.709530201
24.9,3.214867803
20.6,3.025291076
33.4,3.5085559
37.2,3.616308761
29.9,3.39785848
61,4.110873864
48.8,3.887730313
93.8,4.541164856
52.4,3.958906591
31.9,3.46260601
79.2,4.371976299
84.5,4.436751534
50.6,3.923951576
36.9,3.608211551
31.6,3.453157121
21.1,3.04927304
38.5,3.650658241
32.4,3.478158423
52.1,3.953164949
38,3.63758616
47.7,3.864931398
42.4,3.747148362
28.2,3.339321978
34.1,3.529297384
36.9,3.608211551
40.1,3.691376334
86.5,4.460144414
33.3,3.505557397
21.3,3.058707073
47.9,3.869115504
54,3.988984047
27.5,3.314186005
79.7,4.378269586
34.2,3.532225644
87.1,4.467056884
38.8,3.658420247
34.3,3.535145354
54.3,3.994524227
30.4,3.414442608
94.9,4.552823706
14.3,2.660259537
31.6,3.453157121
46.7,3.843744165
28.6,3.353406718
83.4,4.423648309
298.2,5.697764402
105.7,4.660604893
101.3,4.618086411
460,6.131226489
50.5,3.921973336
57.7,4.055257174
229.4,5.435467205
48.3,3.877431561
31.4,3.446807893
27.8,3.325036021
26,3.258096538
40.2,3.693866996
46.4,3.837299459
922.6,6.827195771
31.1,3.437207819
184,5.214935758
138.4,4.930148043
824.9,6.715262167
111.1,4.710430697
44.1,3.786459782
58.6,4.070734697
92,4.521788577
106,4.663439094
38.1,3.640214282
340.5,5.830415126
30.8,3.42751469
50.9,3.929862924
30.3,3.411147713
130.1,4.868303386
39.1,3.666122467
23,3.135494216
37.5,3.624340933
15.4,2.734367509
24,3.17805383
36.8,3.605497845
37.8,3.632309103
36.8,3.605497845
216.6,5.378052335
993.3,6.901032733
987.6,6.895277757
45.5,3.817712326
35.5,3.569532696
26.2,3.265759411
27.8,3.325036021
31.4,3.446807893
18.3,2.90690106
59.8,4.091005661
33.2,3.502549876
40.3,3.696351469
32.1,3.46885603
28.2,3.339321978
32.2,3.471966453
23,3.135494216
37.6,3.62700405
29.8,3.394508394
18.2,2.901421594
15.6,2.747270914
15.7,2.753660712
17.9,2.884800713
31.9,3.46260601
20.1,3.000719815
14.2,2.653241965
16.7,2.815408719
17.2,2.844909384
21,3.044522438
13.2,2.58021683
13.7,2.617395833
27.8,3.325036021
14,2.63905733
17.6,2.867898902
28.2,3.339321978
18.4,2.912350665
35.1,3.55820113
31,3.433987204
12,2.48490665
15.3,2.727852828
22.4,3.109060959
14,2.63905733
15.7,2.753660712
18.6,2.923161581
17.6,2.867898902
14.3,2.660259537
10.5,2.351375257
10.6,2.360854001
9.8,2.282382386
10.7,2.370243741
13.9,2.63188884
13.9,2.63188884
15.6,2.747270914
20.4,3.015534901
13.6,2.610069793
22.9,3.131136911
15.2,2.721295428
25.2,3.226843995
13,2.564949357
13.5,2.602689685
18.9,2.939161922
12.1,2.493205453
47.1,3.852273001
35.6,3.572345638
17.6,2.867898902
17.8,2.879198457
15.8,2.76000994
49.5,3.90197267
20.1,3.000719815
18,2.890371758
18.8,2.93385687
17.6,2.867898902
15.6,2.747270914
21.9,3.086486637
17.4,2.856470206
18.1,2.895911938
14.6,2.681021529
29.2,3.374168709
15,2.708050201
29.4,3.380994674
11.5,2.442347035
15.3,2.727852828
14.5,2.674148649
17.1,2.839078464
13.7,2.617395833
15.6,2.747270914
16.6,2.809402695
26,3.258096538
44.6,3.797733859
16.4,2.797281335
43.2,3.765840495
37.6,3.62700405
9.2,2.219203484
18.4,2.912350665
11.5,2.442347035
72.9,4.289088639
12.2,2.501435952
14.3,2.660259537
19.9,2.990719732
35,3.555348061
15.4,2.734367509
18.6,2.923161581
38.1,3.640214282
32.5,3.481240089
16,2.772588722
16.4,2.797281335
18.9,2.939161922
16.4,2.797281335
17.3,2.850706502
15.7,2.753660712
13.1,2.57261223
17.2,2.844909384
44.8,3.802208139
19.6,2.975529566
138.8,4.933034048
15.5,2.740840024
64.2,4.162003211
20.9,3.039749159
18.1,2.895911938
